id;name;description;location;date;difficulty;photo_1;photo_1_content_type;photo_2;photo_2_content_type;photo_3;photo_3_content_type;jhi_limit
1;phew enlightened motor;enfold;enormously round courageously;2025-03-02T15:43:45;EASY;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;29276
2;meh;characterization successfully;decongestant tray instructive;2025-03-02T03:10:13;MEDIUM;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;25633
3;glittering beyond even;bah although;customise before um;2025-03-01T18:36:33;MEDIUM;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;19668
4;around woot;controvert;legend;2025-03-02T15:11:02;MEDIUM;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;22053
5;behind essential custom;foolishly pfft;ouch baa knit;2025-03-01T18:46:20;MEDIUM;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;11202
6;cleaner courteous;linseed;a jaggedly typify;2025-03-02T07:13:18;MEDIUM;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2150
7;for whoa however;sideboard beep;fatally fumigate sleepy;2025-03-02T09:57:15;MEDIUM;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;13465
8;puppet wallop;ick;cinder;2025-03-02T15:15:28;HARD;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;18211
9;coaxingly;charter;zowie finally;2025-03-02T08:37:55;EASY;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;14404
10;above phew under;juvenile quirkily;giggle part meh;2025-03-02T08:56:44;EXTREME;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;15197
